code_region,libelle_region,unnamed:_2,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
84,Auvergne-Rhône-Alpes,,64035,63168,66092,64742,64473,80286,78318,71996,69958,65538,61628,57717,53502,50408
27,Bourgogne-Franche-Comté,,25024,26562,26715,26028,24841,24402,24024,23077,22643,20846,19355,18315,16223,14830
53,Bretagne,,28075,27881,27349,27013,26043,25543,24645,23372,22105,21103,20108,19194,18206,17426
24,Centre-Val de Loire,,22069,22357,22556,22650,22201,21529,20194,19400,18711,17590,16754,15557,14880,13827
94,Corse,,615,686,700,702,699,685,653,623,617,577,618,475,411,502
44,Grand Est,,43389,44288,44220,44090,42522,41590,40420,38960,37269,35111,33251,31580,28779,28343
32,Hauts-de-France,,45510,47066,48025,47883,47739,46816,44250,43267,41623,39449,37249,34610,32600,30674
28,Normandie,,28942,28938,29756,29956,29669,28554,28217,26919,25827,24595,23255,22012,20101,19382
75,Nouvelle Aquitaine,,37424,37626,39180,38148,37578,36719,35931,34525,33221,31695,30037,29154,27677,26228
76,Occitanie,,28274,29845,30424,30171,29970,29542,29083,27344,26229,25325,23459,22825,22025,21039
52,Pays de la Loire,,38318,38479,39241,38876,38129,36872,35913,34210,32609,30894,28883,27134,24845,23921
93,Provence-Alpes-Côte d'Azur,,17802,18876,19614,19972,19938,19253,18689,18195,17910,16842,15967,15434,14556,13913
11,Île-de-France,,59355,61262,62956,62589,61607,59550,57336,54894,52045,50501,47303,45673,42935,41045
101,Guadeloupe,,482,565,657,706,704,732,767,785,703,702,647,592,692,639
102,Martinique,,415,437,472,478,524,442,547,574,556,539,470,487,492,492
103,Guyane,,186,206,212,245,264,279,263,264,287,257,250,247,235,185
104,La Réunion,,1244,1299,1315,1332,1439,1513,1594,1642,1701,1756,1737,1764,1819,1842
