code_region,libelle_region,creches_collectives,creches_familiales,multi_accueil_collectif_familial,jardins_enfants,etab_et_services_gestion_parentale,total
84,Auvergne-Rhône-Alpes,54196,1547,1973,730,586,59032
27,Bourgogne-Franche-Comté,13315,305,816,40,16,14492
53,Bretagne,14547,570,60,56,211,15444
24,Centre-Val de Loire,11549,1270,227,54,52,13152
94,Corse,2226,22,0,0,20,2268
44,Grand Est,32398,1750,1483,951,570,37152
32,Hauts-de-France,28385,1775,118,362,125,30765
28,Normandie,14393,814,167,80,33,15487
75,Nouvelle Aquitaine,27405,2786,968,88,683,31930
76,Occitanie,36631,1735,1714,272,124,40476
52,Pays de la Loire,19827,553,666,28,44,21118
93,Provence-Alpes-Côte d'Azur,40905,1466,2036,787,537,45731
11,Île-de-France,134397,9536,7355,2544,1635,155467
101,Guadeloupe,1874,0,541,143,0,2558
102,Martinique,2776,0,40,374,0,3190
103,Guyane,1789,60,0,185,0,2034
104,La Réunion,8076,0,0,0,0,8076
